Name,Price (€),Cantidad,Uniform Price (€),Super
PANRICO Pan de molde de cereales y semillas 435 g.,3.04,435g,6.99,Alcampo
"Pan de molde 100% espelta integral PANRICO, paquete 385 g",2.69,385 g,6.99,Eroski
PANRICO Ceralia Pan de molde 5 semillas 435 g.,3.09,435g,7.1,Alcampo
Pan de molde con semillas sin gluten El molino de Dia bolsa 280 g,1.99,280 g,7.11,Dia
Pan de molde sin gluten El molino de Dia bolsa 280 g,1.99,280 g,7.11,Dia
"Pan de molde natural blanco con corteza BIMBO, paquete 360 g",2.59,360 g,7.19,Eroski
Pan de molde natural 100% integral Bimbo bolsa 360 g,2.59,360 g,7.19,Dia
MESTEMACHER Pan integral de centeno con semillas de linaza MESTEMACHER Bolsa de 500 g.,3.6,500g,7.2,Alcampo
Pan de molde masa madre The rustik bakery bolsa 400 g,2.89,400 g,7.23,Dia
PANECO Pan molde integral de espelta con avena ecológico PANECO 400 g.,2.9,400g,7.25,Alcampo
Pan de molde masa madre con cereales The rustik bakery bolsa 400 g,2.99,400 g,7.48,Dia
"Pan de molde natural integral con corteza BIMBO, paquete 360 g",2.85,360 g,7.92,Eroski
PANRICO Pan de molde estilo rústico 375 g.,3.22,375g,8.59,Alcampo
"Pan de molde cereales-semillas sin gluten EROSKI, paquete 350 g",3.19,350 g,9.11,Eroski
Pan de molde clásico sin gluten Dr. Schar bandeja 300 g,2.75,300 g,9.17,Dia
PANECO Pan molde de trigo ecológico PANECO 300 g.,2.75,300g,9.17,Alcampo
Bagels con semillas Bimbo bolsa 300 g,2.79,300 g,9.3,Dia
"PRODUCTO ALCAMPO Pan de molde multicereales, elaborado sin gluten 300 g.",2.95,300g,9.83,Alcampo
"Pan de molde clásico sin gluten SCHAR, paquete 300 g",2.99,300 g,9.97,Eroski
"Pan de molde con cereales sin gluten SCHAR, paquete 300 g",3.19,300 g,10.63,Eroski
"Pan de molde sin gluten BIMBO, paquete 300 g",3.39,300 g,11.3,Eroski
KETOPROTEIN Pan con semillas y extra de proteínas KETOPROTEIN,5.69,500g,11.38,Alcampo
PRODUCTO ALCAMPO Pan de payés multicereales sin gluten PRODUCTO ALCAMPO 300 g.,3.49,300g,11.63,Alcampo
"BIMBO Pan de molde con semillas sin gluten, BIMBO 280 g.",3.38,280g,12.07,Alcampo
KETOPROTEIN Pan con avena y extra de proteínas KETOPROTEIN 365 g.,4.99,365g,13.67,Alcampo
Pan tradicional sin gluten Proceli bolsa 160 g,2.19,160 g,13.69,Dia
SCHÄR Pane casereccio al semi sin gluten SCHÄR 250 g.,4.29,250g,17.16,Alcampo
SCHAR Pan de molde sin corteza y sin gluten 200 g.,3.99,200g,19.95,Alcampo
